Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)","Foreign direct investment, net inflows (% of GDP)",Trade (% of GDP),Gini index,"Population, total",Population growth (annual %),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, primary (% gross)",Urban population (% of total population),Access to electricity (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Renewable energy consumption (% of total final energy consumption),Forest area (% of land area),Control of Corruption: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Individuals using the Internet (% of population),Research and development expenditure (% of GDP),High-technology exports (% of manufactured exports)
Afghanistan,2000,3521418060,,180.1883694,7.955,,0.004827601,,,19542982,1.443803024,..,55.298,92,..,22.16299057,22.078,4.4,27.44185609,20.97091936,0.054812515,64.76727982,45,1.852781994,4.787233829,-2.438968897,-2.080252647,-1.780660748,-2.031417131,..,..,..
Afghanistan,2001,2813571754,-9.431974068,142.9033644,7.958,,0.024168568,,,19688632,0.742516834,..,55.798,89.3,..,22.90859032,22.169,9.3,27.47358023,20.98234866,0.050196479,64.59757272,45.6,1.852781994,..,..,..,..,..,0.00472257,..,..
Afghanistan,2002,3825701439,28.60000116,182.1740382,7.939,,1.30694987,,,21000256,6.449321478,..,56.454,86.6,..,75.95974731,22.261,14.1,29.67486273,22.54133877,0.046328007,64.41688801,37.8,1.852781994,4.761904716,-2.035033703,-1.81154573,-1.673473239,-1.433421016,0.0045614,..,..
Afghanistan,2003,4520946819,8.832277803,199.6432265,7.922,,1.278493252,,,22645130,7.541018965,..,57.344,83.7,..,96.55368042,22.353,19,31.87558916,24.10033283,0.04675619,64.17623142,36.7,1.852781994,4.761904716,-2.198372364,-1.463107824,-1.5582937,-1.177571177,0.0878913,..,..
Afghanistan,2004,5224896719,1.414117993,221.8305307,7.914,,3.577104201,,,23553551,3.933177688,..,57.944,80.9,..,106.2526627,22.5,23.8,34.09443129,25.66623994,0.039875091,63.82660868,44.2,1.852781994,6.403940678,-2.295682192,-1.511548996,-1.693925261,-1.203033924,0.105809,..,..
Afghanistan,2005,6203256539,11.22971483,254.115276,7.914,12.68626872,4.368673104,,,24411191,3.576508004,..,58.361,78,..,100.2296906,22.703,28.7,36.33122612,27.23918874,0.054638874,63.31902553,33.9,1.852781994,1.463414669,-2.06750989,-1.643440247,-1.662965536,-1.12542963,1.22415,..,..
Afghanistan,2006,6971758282,5.357403247,274.0153923,7.918,6.78459655,3.413772973,,,25442944,4.139678035,..,58.684,75.1,..,103.9322433,22.907,33.5,38.56711933,28.81226623,0.05806718,61.51464943,31.9,1.852781994,1.951219559,-2.219134569,-1.689468622,-1.879004836,-1.110293984,2.10712,..,..
Afghanistan,2007,9747886187,13.82631955,376.3182996,7.908,8.680570785,1.935701714,,,25903301,1.793195727,..,59.111,72.3,..,101.0864563,23.113,38.4,41.0836739,30.46653361,0.079665522,58.08378502,28.8,1.852781994,0.970873773,-2.41337347,-1.708872318,-1.852560043,-1.057653904,1.9,..,..
Afghanistan,2008,10109297048,3.92498382,382.5338072,7.92,26.41866415,0.455360445,,,26427199,2.002333262,..,59.852,69.6,..,103.4139633,23.32,42.4,43.63260872,32.12870461,0.15247927,54.19114381,21.2,1.852781994,0.485436887,-2.69136095,-1.607166886,-1.903307557,-1.168901801,1.84,..,..
Afghanistan,2009,12416152732,21.39052839,453.3873851,7.914,-6.811161089,0.451889146,,,27385307,3.561288374,..,60.364,67,..,99.36972046,23.528,48.3,46.21376265,33.79895774,0.236856939,51.00143731,16.5,1.852781994,0.95693779,-2.71142149,-1.664507627,-1.876118779,-1.375495195,3.55,..,..
Afghanistan,2010,15856668556,14.36244147,562.4992216,7.914,2.178537524,1.20311799,,,28189672,2.894904104,..,60.851,64.6,..,102.9034424,23.737,42.7,48.82696852,35.47747099,0.286853284,49.67937703,15.2,1.852781994,0.952380955,-2.579151869,-1.516528249,-1.87005806,-1.404467344,4,..,..
Afghanistan,2011,17805098206,0.426354777,608.7388504,7.916,11.80418581,0.29302518,,,29249157,3.689508302,..,61.419,62.3,31,100.2902985,23.948,43.2,51.47237647,37.16457222,0.403450944,61.81705591,12.6,1.852781994,0.473933637,-2.502059698,-1.536323905,-1.922500134,-1.335976958,5,..,..
Afghanistan,2012,19907329778,12.75228709,653.4174749,7.909,6.441212809,0.285440894,,,30466479,4.077627729,..,61.923,60.1,..,106.2834015,24.16,69.1,54.14949164,38.86030503,0.334026128,70.92231651,15.4,1.852781994,1.421800971,-2.418561459,-1.192579746,-1.651893139,-1.267430067,5.45455,..,..
Afghanistan,2013,20146416758,5.600744659,638.733181,7.919,7.385771784,0.239801184,,,31541209,3.466788304,..,62.417,58.1,..,107.6959763,24.373,68,56.85814159,40.56485238,0.275547459,73.1318159,16.9,1.852781994,0.947867274,-2.519349098,-1.1930902,-1.609111547,-1.240068436,5.9,..,..
Afghanistan,2014,20497128556,2.724543362,626.5129291,7.915,4.673996035,0.209664795,,,32716210,3.657576065,..,62.545,56.2,..,109.1155167,24.587,89.5,59.59815817,42.27840265,0.25307638,77.14372755,19.1,1.852781994,5.288461685,-2.411068439,-1.124133706,-1.437044501,-1.135439992,7,..,..
Afghanistan,2015,19134221645,1.451314661,566.8811297,9.011,-0.661709165,0.884000463,,,33753499,3.121341229,..,62.659,54.6,33.7538414,106.1824188,24.803,71.5,62.36965956,44.00130864,0.258331736,73.49081763,17.7,1.852781994,5.714285851,-2.56262517,-1.018826246,-1.515202641,-1.117556691,8.26,..,..
Afghanistan,2016,18116572395,2.260314203,523.053012,10.1,4.383891955,0.516606085,,,34636207,2.581549399,..,63.136,53,..,106.1502838,25.02,97.7,65.17216226,45.73360216,0.229161929,72.76591014,20.2,1.852781994,3.809523821,-2.662156105,-1.339695096,-1.520713925,-1.037788033,11,..,..
Afghanistan,2017,18753456498,2.647003203,526.140801,11.184,4.975951506,0.274796792,,,35643418,2.866492148,..,63.016,51.5,..,106.1299973,25.25,97.7,68.00887159,47.4776158,0.239789012,65.862347,19.5,1.852781994,3.809523821,-2.794973612,-1.369762778,-1.583736897,-0.990814269,13.5,..,..
Afghanistan,2018,18053222687,1.189228129,492.090631,11.206,0.626149149,0.661572218,,,36686784,2.885207973,..,63.081,50.1,..,107.7805328,25.495,93.4,70.87994089,49.23414442,0.221575704,67.22717748,18.3,1.852781994,4.761904716,-2.753262043,-1.138203621,-1.688586712,-1.007052064,16.8,..,0
Afghanistan,2019,18799444490,3.911603416,497.7414313,11.224,2.302372515,0.124495985,,,37769499,2.908529093,..,63.565,48.8,..,110.0075073,25.754,97.7,73.784643,51.00348109,0.197193508,58.33087223,18.9,1.852781994,5.714285851,-2.652406931,-1.113777995,-1.741318822,-1.006574869,17.6,..,0
Afghanistan,2020,19955929052,-2.351100672,512.055098,11.71,,0.064993957,46.70989455,,38972230,3.134746908,..,62.575,47.4,..,..,26.026,97.7,76.7222554,52.64900094,0.140322994,46.08709367,18.2,1.852781994,4.761904716,-2.702631712,-1.389163017,-1.831374288,-1.077688575,18.4,..,..
Afghanistan,2021,14266499430,-20.73883937,355.7778264,11.934,,0.144401085,51.41171637,,40099462,2.851357654,..,61.982,46.1,37,..,26.314,97.7,79.69307846,54.29858974,0.140630316,..,20,1.852781994,12.38095284,-2.518530369,-1.311682105,-1.87635684,-1.567889929,..,..,..
Afghanistan,2022,14502158192,-6.240171992,352.6037331,14.1,,,72.88546961,,41128771,2.534498317,..,62.879,44.8,..,..,26.616,85.3,82.17537112,55.95194129,0.13800072,..,20,..,12.26415062,-2.550801754,-1.27180624,-1.658442259,-1.751587272,..,..,..
Afghanistan,2023,,,,14.386,,,,,42239854,2.665628202,..,..,..,..,..,26.933,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,2000,460733418.4,3.355068305,784.6184027,1.652,4.012120811,,74.02649711,,587207,2.800570184,..,62.01,58.4,..,80.78762817,25.418,31.2,82.36160234,46.90494201,0.719678069,32.57384036,91.4,65.47738693,71.27659607,0.491936684,-0.428554446,0.130426154,-1.112356544,0.400944,..,..
Bhutan,2001,496110225.7,7.328374452,822.4175456,1.9,3.414789461,,71.09457473,,603234,2.692778294,..,63.444,55.6,..,82.15339661,26.48,40.2,83.46728539,47.26014571,0.752278552,32.91600699,90.2,65.7268593,..,..,..,..,..,0.864629,..,..
Bhutan,2002,559345263.7,10.44377954,903.5571776,1.851,2.455357143,0.4336159,70.2833172,,619048,2.587763295,..,64.078,52.7,..,83.75219727,27.57,44.1,84.61995697,49.15474215,0.791699513,33.34418245,89.7,65.97633166,70.89946747,0.693675578,-0.50857091,0.069401726,-1.290270805,1.6758,..,..
Bhutan,2003,651935430.3,7.786560536,1027.273391,1.8,2.572308617,0.516969909,72.84990066,40.9,634627,2.485461063,13.4,64.696,49.9,..,86.24712372,28.688,41.1,85.7539271,51.01652707,0.796058157,33.75126304,89.7,66.22580402,82.01058197,0.918948591,-0.04871612,0.136125684,-1.146781921,2.43691,..,..
Bhutan,2004,735348490.4,5.157257256,1131.321034,2.49,4.105936983,1.204858664,89.0605518,,649991,2.392109191,..,65.268,47.1,..,89.68125916,29.835,51.9,86.86839087,52.8441983,0.788626304,34.03014503,90.9,69.41039431,80.78817749,1.172050357,-0.915191174,0.223591417,-0.965037107,3.15698,..,..
Bhutan,2005,860391000.2,6.935071466,1297.092066,3.1,5.312631046,0.721867151,97.74341354,,663323,2.03035344,..,65.805,44.4,53,92.76241302,30.965,59.8,87.95675999,54.62419308,0.838656281,34.07372473,88.7,69.67088176,79.02439117,1.284487367,-0.286168545,0.332806766,-1.072155476,3.84711,..,..
Bhutan,2006,942879878.5,5.640805265,1400.469178,3.13,5.00045438,0.649361842,108.1577949,,673260,1.486953387,..,66.362,41.7,..,97.14897156,31.712,59.7,88.97896447,56.26958234,0.837417937,33.14962238,91.6,69.93136921,77.56097412,1.264518976,-0.577596843,0.21245949,-1.058763504,4.51832,..,..
Bhutan,2007,1255767964,16.10478365,1842.344735,3.7,5.156111388,5.881322974,106.9290224,38.1,681614,1.233193031,5.9,66.954,39.3,..,101.165947,32.469,71.8,89.98677222,57.88900697,0.846813592,31.1047419,92,70.19185665,78.1553421,0.568526506,-0.70974499,0.36783278,-0.872591913,5.92,..,0.751439729
Bhutan,2008,1317517835,4.529448692,1910.174218,3.833,8.327160494,0.238630623,101.9542357,,689737,1.18468503,..,67.499,36.9,..,104.5938492,33.236,67.6,90.97982582,59.48189388,0.882365307,28.70090506,87.8,70.4523441,78.64077759,0.720669389,-0.765467465,0.421698183,-0.505405188,6.55,..,0.126757285
Bhutan,2009,1331343798,7.667492403,1908.249648,3.96,4.361122191,1.374529048,101.5594116,,697678,1.144731276,..,67.897,34.6,..,109.0328064,34.01,71.5,91.95755308,61.06873095,1.192097214,26.69993366,87.8,70.71283154,79.42583466,0.803496659,-1.071835279,0.219097927,-0.461808324,7.17,..,0.215969979
Bhutan,2010,1673464261,11.9318739,2371.97209,3.32,7.036383161,4.498094807,107.2326853,,705516,1.117177172,..,68.43,32.6,..,111.8249588,34.793,73.3,92.91982976,62.62895809,1.309254503,25.86364946,84.8,70.97331899,79.52381134,0.742221653,-1.158943653,0.161859259,-0.416917324,13.6,..,0.13731061
Bhutan,2011,1938441289,8.307647832,2717.449948,3.23,8.848985699,1.60652866,104.8791194,,713331,1.101609833,..,68.881,30.7,..,113.1725693,35.585,81.8,93.86634017,64.1622239,1.569958406,30.4700767,84.9,71.02521185,77.25118256,0.826495349,-1.154204845,0.205665544,-0.404029369,14.4,..,8.75611E-05
Bhutan,2012,1939730676,5.095492644,2689.792866,2.05,10.91965694,1.256910244,95.67614659,38.8,721145,1.089467832,1.7,69.326,29.1,55,112.4175186,36.371,91.5,94.79608007,65.6661457,1.487356912,38.13157147,82.8,71.0771047,79.14691925,0.77630949,-1.093008518,0.260953724,-0.280920058,15.6,..,0.02303265
Bhutan,2013,1913162477,1.658455578,2624.765194,2.87,8.776383453,1.068055187,96.56917811,,728889,1.068123041,..,69.707,27.8,..,106.1411972,37.149,87.4,95.70915284,67.14088799,1.540975375,37.41624372,81.7,71.12899756,79.14691925,0.784624875,-1.086755395,0.317648262,-0.158783659,22.4,..,..
Bhutan,2014,2057330873,5.717865612,2793.931303,2.63,8.271060939,1.143954629,89.29107372,,736357,1.019359843,..,70.049,26.6,..,104.0050278,37.918,91.4,96.60577774,68.58685065,1.562149881,40.29815305,82.1,71.18089042,88.46154022,1.068038583,-1.014745593,0.417663902,-0.1029386,30.3,..,..
Bhutan,2015,2154921011,6.568454317,2899.228294,2.45,4.548143951,0.299359179,91.00755302,,743274,0.93496965,..,70.343,25.5,..,102.4833566,38.678,95.4,97.48622327,70.00457822,1.797856511,37.48569113,81.6,71.23278327,80.95237732,0.960772634,-0.735030413,0.534968972,-0.034806281,39.8,..,..
Bhutan,2016,2322730512,8.400553755,3097.961234,2.737,3.219886894,0.511646198,77.52795554,,749761,0.868973711,..,70.602,24.6,..,100.9430695,39.428,99.3,98.18623888,71.39454115,1.942485672,36.94161228,80.8,71.23427013,81.42857361,1.106088281,-0.691017687,0.509927452,-0.025891906,46.5,..,..
Bhutan,2017,2591358115,3.507567403,3427.173845,3.039,4.95508367,-0.638806341,76.78839772,37.4,756121,0.84469272,0.9,70.847,23.6,67,99.73843335,40.167,97.7,98.65984174,72.75728816,2.100192959,33.81151504,79.7,71.28617869,90.95237732,1.102793097,-0.339257926,0.63007921,0.010954513,54.3,..,..
Bhutan,2018,2583335723,3.501871857,3389.777303,3.35,2.723963862,0.102559427,79.73972102,,762096,0.787111572,..,71.129,22.9,..,99.28786575,40.895,100,98.7649965,74.09344932,2.39996011,34.08388194,80,71.34556896,91.42857361,1.077452898,-0.376959831,0.548555255,0.042394046,63.5,..,..
Bhutan,2019,2735683409,5.755148512,3564.598771,2.72,2.726430374,0.47561707,76.12351742,,767459,0.701252584,..,71.391,22.1,..,97.96216381,41.612,100,98.87231224,75.40367028,2.609129608,30.05189776,81,71.39748296,91.42857361,1.065351009,-0.359623849,0.584862649,0.073989496,74.1794,..,..
Bhutan,2020,2457604042,-10.21839742,3181.339747,5.03,5.629365226,-0.113401542,71.83035577,,772506,0.655471789,..,71.609,21.4,..,103.8008312,42.316,100,98.98171763,76.68856434,1.998948875,23.94565764,83.9,71.44939696,93.33333588,1.013411403,-0.330750853,0.579251528,0.151467398,76.8508,..,..
Bhutan,2021,2768802803,4.421367389,3561.225287,4.804,7.346814405,0.244983589,77.58245145,,777486,0.642586173,..,71.815,20.7,..,103.0328842,43.008,100,99.12699463,77.94885785,2.182804578,..,81.8,71.50131096,90.47618866,0.797127724,-0.405656159,0.604691029,0.219684556,85.6369,..,..
Bhutan,2022,2898227713,5.213867838,3704.018395,5.947,5.639166714,0.289904658,85.93016917,28.5,782455,0.637077531,0,72.229,20.1,72.09999847,106.0821274,43.686,100,99.1314463,77.94007424,2.188496463,..,82.5,..,90.09433746,0.864817739,-0.381970435,0.672034562,0.155555993,86.8403,..,..
Bhutan,2023,,,,5.653,4.229344199,,,,787424,0.633044533,..,..,..,..,..,44.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,2000,53369787319,5.293294719,413.1001853,3.27,2.208256209,0.525362089,29.32171436,33.4,129193327,1.905524049,33.3,65.779,63,..,..,23.59,32,94.81892121,24.51319035,0.205050064,53.20733159,60.2,14.75246293,6.914893627,-0.726261258,-0.941208124,-0.991129994,-0.227924496,0.0710394,..,..
Bangladesh,2001,53991289844,5.077287775,410.0485409,3.614,2.007173742,0.145443905,32.09801707,,131670484,1.899252681,..,66.135,59.9,47,..,24.096,35,94.99368594,26.07059753,0.24364686,53.53715577,55.9,14.72789045,..,..,..,..,..,0.129808,..,..
Bangladesh,2002,54724081491,3.83312394,407.9629676,3.967,3.332564933,0.095579368,28.96738072,,134139826,1.85802653,..,66.612,57,..,..,24.756,37.8,95.17376963,27.6554494,0.251713462,53.99898917,54.4,14.70331797,1.587301612,-1.032590389,-1.055441499,-0.991601229,-0.432220519,0.13992,..,..
Bangladesh,2003,60158929188,4.7395674,440.7144048,4.32,5.668707734,0.445960783,27.6578849,,136503206,1.746536801,..,66.824,54.3,..,..,25.429,40.5,95.35256256,29.23186766,0.259061315,54.44165602,52.6,14.67874549,0.529100537,-1.115581155,-1.044749141,-1.151943922,-0.551806808,0.163878,..,..
Bangladesh,2004,65108544250,5.23953291,469.1164584,4.294,7.587536385,0.689472336,26.85823415,,138789725,1.661191643,..,67.187,51.7,..,..,26.114,40.6,95.52997248,30.79929845,0.269183472,54.71398059,52,14.654173,0.985221684,-1.360476375,-1.175912261,-1.122482061,-0.672145784,0.199036,..,..
Bangladesh,2005,69476001430,6.535944939,493.0432506,4.25,7.046618162,1.170651671,34.39693486,33.2,140912590,1.517975111,24,67.299,49.3,..,99.95349884,26.809,44.2,95.70895752,32.44318376,0.282248733,54.6647871,50.6,14.62960052,2.926829338,-1.863839388,-1.081751704,-0.978551865,-0.569969237,0.241637,..,..
Bangladesh,2006,71795735672,6.671904986,503.3746345,3.591,6.765261171,0.635863904,38.11192443,,142628831,1.210589941,..,67.241,47,..,99.97512054,27.517,50.5,95.88471178,34.08752509,0.299803341,53.19754595,48.6,14.60502804,2.926829338,-1.507097363,-1.005542517,-0.907564044,-0.451236516,1,..,..
Bangladesh,2007,79611644984,7.058599354,552.337247,4.045,9.106984969,0.817756923,39.94238265,,144135934,1.051117194,..,66.714,44.8,46.66360092,98.18898773,28.237,46.5,96.05709845,35.73090119,0.313589393,50.07523823,47.2,14.58045556,13.5922327,-1.543071628,-0.953167856,-0.827155948,-0.573499918,1.8,..,..
Bangladesh,2008,91636997445,6.013789757,630.1483077,4.516,8.901944895,1.449657915,42.62091403,,145421318,0.887833017,..,67.051,42.7,..,95.1065979,28.968,54.3,96.2259786,37.37191663,0.347517136,46.43595425,45.2,14.55588308,15.04854393,-1.508331299,-0.91451782,-0.752373576,-0.442116976,2.5,..,0.43548046
Bangladesh,2009,1.02475E+11,5.045124799,698.5030788,5,5.423472362,0.87951714,40.09279622,,146706810,0.880093476,..,67.403,40.7,..,97.62580109,29.709,57.1,96.39123318,39.00921249,0.366237941,43.4177843,43.1,14.53130983,14.83253574,-1.546771407,-0.866342843,-0.784571469,-0.289043039,3.1,..,0.305861222
Bangladesh,2010,1.15276E+11,5.571788185,776.835744,3.379,8.126676392,1.068967656,37.80284267,32.1,148391139,1.141551337,18.2,68.638,38.9,..,99.73534806,30.462,55.3,96.55282537,40.64186732,0.401305633,42.1588187,40.3,14.50673734,14.76190472,-1.425789475,-0.85759306,-0.801013291,-0.268090695,3.7,..,0.21302152
Bangladesh,2011,1.28607E+11,6.464379125,856.1788328,3.73,11.39516516,0.983399359,47.42084984,,150211005,1.218938691,..,68.809,37.2,59,..,31.225,59.6,96.71059726,42.2683391,0.422064282,52.29511106,38.4,14.4991442,13.74407578,-1.404736876,-0.81707859,-0.733335555,-0.31506893,4.5,..,0.194923395
Bangladesh,2012,1.33311E+11,6.521458779,876.5216529,4.075,6.217504221,1.188503924,48.11092275,,152090649,1.243571246,..,69.554,35.6,58,..,31.993,65.5,96.86438458,43.88689272,0.447700108,65.16383893,37.3,14.49155105,20.85308075,-1.379088998,-0.959472537,-0.936167359,-0.401940674,5,..,0.463362853
Bangladesh,2013,1.49999E+11,6.013605658,973.8286176,4.426,7.530406409,1.735320126,46.29640272,,154030139,1.267157297,..,69.565,34.1,61,..,32.762,61.5,97.01406183,45.49616346,0.46656778,64.3758949,37,14.4839579,21.32701492,-1.627858877,-0.923936903,-0.871759772,-0.405386388,6.63,..,0.29908859
